#Release 14.3 - par P.40xd (lin64)
#Copyright (c) 1995-2012 Xilinx, Inc.  All rights reserved.

#Tue Nov 13 11:36:04 2012

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc3s50an
#SPEED GRADE:      -4
#PACKAGE:          tqg144
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
79,led<7>,IOB,IO_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
80,,DIFFSI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
81,,,GND,,,,,,,,,,,,
82,led<15>,IOB,IO_L03P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
83,led<12>,IOB,IO_L04P_1/RHCLK0,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
84,led<2>,IOB,IO_L03N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
85,led<6>,IOB,IO_L04N_1/RHCLK1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
86,,,VCCO_1,,,1,,,,,3.30,,,,
87,led<9>,IOB,IO_L05P_1/RHCLK2,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
88,led<8>,IOB,IO_L05N_1/TRDY1/RHCLK3,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
89,,,GND,,,,,,,,,,,,
90,led<10>,IOB,IO_L06P_1/RHCLK4,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
91,led<5>,IOB,IO_L07P_1/IRDY1/RHCLK6,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
92,led<0>,IOB,IO_L06N_1/RHCLK5,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
93,led<11>,IOB,IO_L07N_1/RHCLK7,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
94,,,VCCINT,,,,,,,,1.2,,,,
95,,,VCCO_1,,,1,,,,,3.30,,,,
96,led<3>,IOB,IO_L08P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
97,,DIFFMI_NDT,IP_1/VREF_1,UNUSED,,1,,,,,,,,,
98,led<1>,IOB,IO_L08N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
99,led<13>,IOB,IO_L09P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
100,,,GND,,,,,,,,,,,,
101,led<4>,IOB,IO_L09N_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
102,led<14>,IOB,IO_L10P_1,OUTPUT,LVCMOS33,1,12,SLOW,NONE**,,,LOCATED,NO,NONE,
103,,DIFFMLR,IO_L11P_1,UNUSED,,1,,,,,,,,,
104,,DIFFSLR,IO_L10N_1,UNUSED,,1,,,,,,,,,
105,,DIFFSLR,IO_L11N_1,UNUSED,,1,,,,,,,,,
106,,,GND,,,,,,,,,,,,
107,,,TDO,,,,,,,,,,,,
108,,,VCCAUX,,,,,,,,3.3,,,,
109,,,TCK,,,,,,,,,,,,
110,,DIFFMTB,IO_L01P_0,UNUSED,,0,,,,,,,,,
111,,DIFFSTB,IO_L01N_0,UNUSED,,0,,,,,,,,,
112,,DIFFMTB,IO_L02P_0/VREF_0,UNUSED,,0,,,,,,,,,
113,,DIFFSTB,IO_L02N_0,UNUSED,,0,,,,,,,,,
114,,DIFFMTB,IO_L04P_0,UNUSED,,0,,,,,,,,,
115,,DIFFMTB,IO_L03P_0,UNUSED,,0,,,,,,,,,
116,,DIFFSTB,IO_L04N_0,UNUSED,,0,,,,,,,,,
117,,DIFFSTB,IO_L03N_0,UNUSED,,0,,,,,,,,,
118,,,GND,,,,,,,,,,,,
119,,,VCCO_0,,,0,,,,,any******,,,,
120,,DIFFMTB,IO_L05P_0,UNUSED,,0,,,,,,,,,
121,,DIFFSTB,IO_L05N_0,UNUSED,,0,,,,,,,,,
122,,,VCCINT,,,,,,,,1.2,,,,
123,,IBUF,IP_0/VREF_0,UNUSED,,0,,,,,,,,,
124,,DIFFMTB,IO_L06P_0/GCLK4,UNUSED,,0,,,,,,,,,
125,,DIFFMTB,IO_L07P_0/GCLK6,UNUSED,,0,,,,,,,,,
126,,DIFFSTB,IO_L06N_0/GCLK5,UNUSED,,0,,,,,,,,,
127,,DIFFSTB,IO_L07N_0/GCLK7,UNUSED,,0,,,,,,,,,
128,,,GND,,,,,,,,,,,,
129,,DIFFMTB,IO_L08P_0/GCLK8,UNUSED,,0,,,,,,,,,
130,,DIFFMTB,IO_L09P_0/GCLK10,UNUSED,,0,,,,,,,,,
131,,DIFFSTB,IO_L08N_0/GCLK9,UNUSED,,0,,,,,,,,,
132,,DIFFSTB,IO_L09N_0/GCLK11,UNUSED,,0,,,,,,,,,
133,,,VCCAUX,,,,,,,,3.3,,,,
134,,DIFFMTB,IO_L10P_0,UNUSED,,0,,,,,,,,,
135,,DIFFSTB,IO_L10N_0,UNUSED,,0,,,,,,,,,
136,,,VCCO_0,,,0,,,,,any******,,,,
137,,,GND,,,,,,,,,,,,
138,,DIFFMTB,IO_L11P_0,UNUSED,,0,,,,,,,,,
139,,DIFFSTB,IO_L11N_0,UNUSED,,0,,,,,,,,,
140,,IBUF,IP_0,UNUSED,,0,,,,,,,,,
141,,DIFFMTB,IO_L12P_0/VREF_0,UNUSED,,0,,,,,,,,,
142,,DIFFSTB,IO_0,UNUSED,,0,,,,,,,,,
143,,DIFFSTB,IO_L12N_0/PUDC_B,UNUSED,,0,,,,,,,,,
144,,,PROG_B,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
